index,cleaned,document_link,abstract,all_authors,pdf_path,title,publisher,year_published,volume,date_uploaded,keywords,start,end,,,,,,,,,
"1,366",T,http://lenr-canr.org/acrobat/SIFthescience.pdf#page=96,"Anomalous neutron burst has been detected in heavy water electrolysis using a Pd cathode. The burst events  occurred five times periodically for ca. 140 hours. The numbers of the burst neutrons increased gradualy  from 5.3 sigma (the 1st event/l0min. ) to 135 sigma (the 5th event/10min. ) and the last event continued for 50 min. and gave 1779 neutrons to the five 3He neutron countors of 1% detection efficiency. The reproducibility has been examined three times, but any further event did not occurred.","Fujii, Y.; Takahashi, M.; Nakada, M.; Kusunoki, T.; Kamoto, O.",SIFthescience.pdf,Anomalous Neutron Burst in Heavy Water Electrolysis,"Second Annual Conference on Cold Fusion, ""The Science of Cold Fusion""","1,991",1,2018-11-16,"Pd, D2O, neutron, electrolysis, ICCF-2",96,107,,,,,,,,,
"1,368",T,http://lenr-canr.org/acrobat/IkegamiHthirdintera.pdf#page=229,The comparison of the neutron count rate was executed among the Pd states different in the absorbed deuteron amounts. Charge and discharge of deuterons to the Pd plate was repeated cyclically by electrolysis. Highly significant difference of 1% level in statistics was observed between filled and emptied states in one sample among the four samples tested. This excess neutron count rate corresponds to the fusion rate of 0.8?10^ -23 fusions/deuteron pair/sec.,"Fujiwara, M.; Sakuta, K.",IkegamiHthirdintera.pdf,Statistically Significant Increase in Neutron Counts for Palladium Plate Filled with Deuterons by Electrolysis,"Third International Conference on Cold Fusion, ""Frontiers of Cold Fusion""","1,992",1,2018-12-04,"Pd, D2O, neutron, electrolysis, ICCF-3",229,232,,,,,,,,,
"1,373",T,http://lenr-canr.org/acrobat/IkegamiHthirdintera.pdf#page=13,Some basic properties of the hydrogen- metal system are described with particular attention paid to the availability of close D-D pairs in metals. A brief description is also given of the behavior of energetic D+ ions during their passage through a metal lattice.,"Fukai, Y.",IkegamiHthirdintera.pdf,The ABC's of the Hydrogen-Metal System,"Third International Conference on Cold Fusion, ""Frontiers of Cold Fusion""","1,992",1,2018-12-04,"Pd, D, distance, theory, ICCF-3, PdD, lattice parameter",13,22,,,,,,,,,
"1,380",T,http://lenr-canr.org/acrobat/NEDOthesixthina.pdf#page=24,"Measurements of excess heat, X-rays and neutrons to study possible correlation between excess heat and nuclear products during the electrolysis of LiOD heavy water electrolyte using Pd cathodes were carried out. Two open type electrochemical cells with two sets of X-ray and neutron detection systems were formed to be twin type. Therefore, two experiments being carried out by two cells at the same time were compared at any time and false signals in coincidence for two cells were able to be rejected as accidental noises. No excess heats were observed out of seven runs after ICCF5. But weak excess X-rays and neutron burst were observed at the same time in one case. And only soft Xrays were detected during electrolysis of heavy water using Pd cathodes in two cases and one case for electrolysis of light water.","Fukuoka, H.; Ikegawa, T.; Kobayashi, K.; Takahashi, A.",NEDOthesixthina.pdf,Measurements of excess heat and nuclear products in Pd-D2O system using twin open type electrolysis cells,"Sixth International Conference on Cold Fusion, Progress in New Hydrogen Energy","1,996",2,2018-11-30,excess heat,24,31,,,,,,,,,
"1,381",T,http://lenr-canr.org/acrobat/IkegamiHthirdintera.pdf#page=345,"Phenomena of sono-Iuminescence now appear before the footlights. Recently direct measurement of the temperature of a hot spot created in a liquid by applying a supersonic field was carried out and very large values, T ~ 0.5 eV, were obtained.It seems, therefore, to be an urgent problem to determine the upper bound for temperatures and densities realizable in the hot spot, in connection with cold fusion. In this paper we calculate it by use of the bubble dynamics so far developed by many authors and estimate the fusion rate per bubble.","Fukushima, K.",IkegamiHthirdintera.pdf,Is Sono-Fusion to be a Possible Mechanism for Cold Fusion?,"Third International Conference on Cold Fusion, ""Frontiers of Cold Fusion""","1,992",1,2018-12-04,"theory, accustic, sonofusion, ICCF-3",345,348,,,,,,,,,
"1,382",T,http://lenr-canr.org/acrobat/PonsSproceedinga.pdf#page=330,"We proposed the sonofusion at ICCF3 and theoretically predicted by use of a simplified model that the temperature of gas within a supersonic cavity reaches more than 10^8 K if the initial radius of the cavity is less than 10 ?m, that is temperatures high enough for the occurrence of hot fusion.In the present paper we consider a more realistic model by taking into account the compressibility of liquid and search for the optimum values of supersonic parameters for getting high gas-temperature. In addition the stability of a spherical cavity is examined.","Fukushima, K.",PonsSproceedinga.pdf,"Sonofusion, Compressibility of Liquid and Stability of Spherical Cavity",5th International Conference on Cold Fusion,"1,995",1,2018-11-20,"sonofusion, theory, compressibility, ICCF-5",330,337,,,,,,,,,
"1,394",T,http://lenr-canr.org/acrobat/GamberaleLmeasuremen.pdf,We present experimental data on heat capacity and thermal coefficient of resistance of PdHx system at loading ratio 0<x<0.93 at room temperature. To this purpose a dynamic measurement method has been devised.? Data confirm the existence of a phase transition around x; 0.7 (gamma phase).,"Gamberale, L.; Garbelli, D.; Piana, G.",GamberaleLmeasuremen.pdf,Measurement of heat capacity of PdHx,"The 9th International Conference on Cold Fusion, Condensed Matter Nuclear Science","2,002",1,2005-01-24,"ICCF-9, heat capacity, PdH, resistivity",,,,,,,,,,,
"1,395",T,http://lenr-canr.org/acrobat/GamberaleLfinaltechn.pdf,I show that the experimental protocol used by Defkalion Green Technologies (DGT) is not reliable to demonstrate the production of large amounts of energy with the use of the reactor R5. Experimental tests carried out using the same measurement system used by DGT in public demonstrations show that the measurement of excess of thermal energy carried out following the experimental protocol of DGT is obtainable regardless of the use of H2 and of the high voltage excitation.,"Gamberale, L.",GamberaleLfinaltechn.pdf,Final technical report on the Defkalion GT calorimetric protocol,Personal Communication,"2,014",,2016-04-05,"excess heat, calorimeter",,,,,,,,,,,
"1,399",T,http://lenr-canr.org/acrobat/BiberianJPjcondensedw.pdf#page=54,"The resistance method was used in situ to determine the D/Pd ratio in the cathode of Pd|D2O+D2SO4 electrolytic-calorimetric systems. Thirty-three experimental runs with excess heat production indicated that there is no clear correlation between the excess power and the D/Pd ratio. Most excess heat occurs when the ratio is 0.5 < D/Pd < 0.7. Three different cathode pretreatments were tested. It is found that the excess heat reproducibility rate is 2/11 (18%), 21/32 (66%) and 25/50 (50%), and maximum excess power of 45 +/1 18 mW, 117 +/- 24 mW and 128 +/- 19 mW were achieved for samples etched in aqua regia, heated in D2SO4 and open electrolyzed in D2SO4, respectively, based on 93 runs of calorimetry with 25 Pd plates. This indicates that heating and open electrolyzing in D2SO4 are effective methods of pretreatment for excess heat production in subsequent electrolysis. Surface characterizations with 3D non-contact optical profiling, scanning electron microscopy (SEM) and energy dispersive X-ray spectrometry (EDS) were performed for Pd samples of cold rolled, pretreated and electrolyzed. The results showed that the surface roughness of palladium increases prominently after pretreatment. New element silver was detected on Pd surface after electrolysis.","Gao, J.; Zhang, W-S.; Zhang, J-J.",BiberianJPjcondensedw.pdf,Effects of D/Pd Ratio and Cathode Pretreatments on Excess Heat in Closed Pd|D2O+D2SO4 Electrolytic Cells,J. Condensed Matter Nucl. Sci.,"2,017",24,2017-10-19,"Current density, Surface roughness, Temperature, Transmutation",54,71,,,,,,,,,
"1,402",T,http://lenr-canr.org/acrobat/ISCMNSproceeding.pdf#page=138,"A review of possible stimulation mechanisms of LENR (low energy nuclear reaction) is presented in [1, 2, 3]. We have concluded that transmutation of nuclei at low energies and excess heat is possible in the framework of the known fundamental physical laws, the universal cooperative resonance synchronization principle [1], and different enhancement mechanisms of reaction processes. . . .","Gareev, F.; Gareeva, G.; Zhidkova, I.",ISCMNSproceeding.pdf,Quantization of Atomic and Nuclear Rest Masses,Proceedings of the 8th International Workshop on Anomalies in Hydrogen / Deuterium Loaded Metals,"2,007",,2018-08-29,theory,138,171,,,,,,,,,
"1,403",T,http://lenr-canr.org/acrobat/ISCMNSproceeding.pdf#page=122,The experimental existence of low energy nuclear reactions (LENR) is well established and obtained results have been published in over 3000 scientific papers. Nevertheless there is no widely accepted theoretical mechanism for LENR.,"Gareev, F.; Gareeva, G.; Zhidkova, I.",ISCMNSproceeding.pdf,"Common Mechanism of Superconductivity, Superfluidity, Integer and Fractional Hall Effects, and Cold Fusion",Proceedings of the 8th International Workshop on Anomalies in Hydrogen / Deuterium Loaded Metals,"2,007",,2018-08-29,theory,122,137,,,,,,,,,
"1,405",T,http://lenr-canr.org/acrobat/PonsSproceedinga.pdf#page=266,"It has now been established that during electrolysis of LiOD using Pd cathodes a threshold loading ratio of at least 0.85 needs to be achieved before excess heat production can be expected, However for emission of neutrons and tritium and possibly charged particles and transmutation products too much lower D/Pd ratios, in the region of 0.4 to 0.7 appears to be adequate. This has been independently corroborated in a variety of electrolytic and gas loading experiments. It is not so much the magnitudes of the steady state loading ratio, but rather creation of non-equilibrium conditions which facilitates rapid migration/transport of deuterons within the Pd lattice that seems to be required. With this in view a systematic study has been undertaken using electrically self-heated 0.1 25 mm dia Pd wires in H2/D2 atmospheres to optimize the conditions under wh ich rap id load ing/unloading or H2 or D2 can be achieved. Pd wire was of 99.9% purity and was procured from Lieco Industries USA.","Garg, A. B.; Rout, R. K.; Srinivasan, M.; Sankarnarayanan, T. K.; Shyam, A.; Kulkarni, L. V.",PonsSproceedinga.pdf,Protocol for Controlled and Rapid Loading/Unloading of H2/D2 Gas in Self Heated Pd Wires to Trigger Nuclear Events,5th International Conference on Cold Fusion,"1,995",1,2018-11-20,"Pd, D2, H2, gas loading, autoradiography, ICCF-5",266,269,,,,,,,,,
"1,411",T,http://lenr-canr.org/acrobat/GeorgeRthecoldfus.pdf,"Dr. Mahadeva Srinivasan was the head of the Neutron Physics Division and an Associate Director of the Physics Group of BARC (Bhabha Atomic Research Center) in Mumbai (Bombay), India when this interview was held on March 1, 1994 at SRI International in Menlo Park, California. At that time he was a visiting scientist there, participating in the Cold Fusion experiments underway at the laboratories of the Energy Research Center.","George, R.",GeorgeRthecoldfus.pdf,The cold fusion phenomenon -- An interview with Dr. Mahadeva Srinivasan,Cold Fusion,"1,994",1,2006-05-01,Review,,,,,,,,,,,
"1,415",T,http://lenr-canr.org/acrobat/GerischerHiscoldfusi.pdf,"""In spite of my earlier conclusion, -- and that of the majority of scientists, -- that the phenomena reported by Fleischmann and Pons in 1989 depended either on measurement errors or were of chemical origin, there is now undoubtedly overwhelming indications that nuclear processes take place in the metal alloys."" Professor Heinz GerischerCOLD FUSION John O?M. Bockris Chemistry Dept., Texas A&M University College Station, TX? 77843October 30, 1991A memorandum has been written on the present state of cold fusion research as of October, 1991, by Professor Heinz Gerischer. The significance of this memorandum arises from Professor Gerischer?s status.? He is widely recognized to be the leading physical electrochemist in Europe and would vie for the title on a still wider basis.? Apart from his long term involvement in electrochemistry he is well known as a physical chemist of the highest standing and was, until 1988, the Director of the Max Planck Institute for Physical Chemistry in Berlin.[Note. This document was misfiled. The LENR-CANR.org filename is incorrect, but since it has been on file for many years, we will not change it. This paper confused with an another paper by Gerischer in the ICCF-2 proceedings, which is here: http://lenr-canr.org/acrobat/SIFthescience.pdf#page=480]","Gerischer, H.",GerischerHiscoldfusi.pdf,Memorandum on the Present State of Knowledge on Cold Fusion,,"1,991",,2002-10-07,"review, critique, history",,,,,,,,,,,
"1,416",T,http://lenr-canr.org/acrobat/SIFthescience.pdf#page=480,"Having received, at short notice, the invitation to attend the second international conference on cold fusion as a sceptical observer, I began to study some of the papers which have appeared since the fall of 1989 after which I had stopped following the publications in this area. Being sceptical from the beginning, the many negative reports from renowned laboratories seemed to confirm that the disputed claims of cold fusion occurring in a solid were, unfortunately, based on the erroneous interpretation of ill-defined experiments. I now realize that in the meantime many new positive results have been published which can not be pushed aside quite so easily. Two reviews, currently in the course of publication, were very helpful and yielded much information on the present situation. These are the reviews of M. Srinivasan and E. Storms. Together with my reading and the lectures given on the first days of the conference, I eventually felt able to present my impressions in a lecture on the last day of the conference, as the organizers had requested. I am aware that all the arguments pro and contra the reality of cold fusion have been pointed out by others before. The first part of my contribution to the report of this conference is therefore mainly a reminder of the problems. In the second part I raise some questions seen with the eyes of a physical chemist being specially experienced in electrochemistry.","Gerischer, H.",SIFthescience.pdf,Is Cold Fusion a Reality? The Impressions of a Critical Observer,"Second Annual Conference on Cold Fusion, ""The Science of Cold Fusion""","1,991",1,2018-11-16,"review, critique, history, ICCF-2, surface",480,489,,,,,,,,,
"1,428",T,http://lenr-canr.org/acrobat/GimpelRmulticellr.pdf,"A growing body of experimental evidence in this last decade has shown that some types of low-energy-induced nuclear reactions are possible. Key cathode characteristics considered important for these non-Joule heating reactions, as documented in a US patent application, are discussed. These concepts are incorporated into an electrolytic reactor system to encourage these reactions while discourage Joule heating of the electrolyte. However, even the more efficient reactor designs appear to have diminishing returns upon scale up. The MultiCell unit?s unique design allows for repetitive replication of the unit (much like a component on a circuit board or computer chip) to acquire the desired power output while still maintaining the efficiency of the small MultiCell unit. The design uses a plurality of small cells arranged in an interconnected array, wherein each cell is characterized by having a relatively small cathode separated from a relatively large anode by a small gap.","Gimpel, R.",GimpelRmulticellr.pdf,Multicell Reactors,Tenth International Conference on Cold Fusion,"2,003",,2009-12-10,,,,,,,,,,,,
"1,431",T,http://lenr-canr.org/acrobat/GluckPunderstand.pdf,"Lack of reproducibility was a kind of original sin and a rich source of troubles, despair and skeptics from the start of the cold fusion story. Now the situation is much improved, but the progress has resulted mainly from trial and error experiments and not from cause-effect considerations, principles, models or theories. This statement is valid even for the newly born light-water excess energy experiments [1]. The most developed theories, e.g. the T.R.M. model of Bush [2] must be combined with purely empirical descriptions of know-how and engineering data as those of Cravens [3] for electrochemical cells. Scaramuzzi [4] for gas-metal systems, Mills [5] (the experimental part) and Mallove [1] for light water experiments. An example of spectacular irreproducibility was obtained by the scientists of the Bhabha Atomic Research Center [6,7]: ""not only are the anomalous fusion reactions found to take place in only a very few chips (obtained from the same piece of titanium) but even in those chips, tritium production is restricted to a small number of selected localized ?hot spots' only...""","Gluck, P.",GluckPunderstand.pdf,Understanding Reproducibility: Topology Is The Key,Fusion Facts,"1,992",3,2002-08-16,theory,,,,,,,,,,,
"1,435",T,http://lenr-canr.org/acrobat/GodesRquantumfus.pdf,"The field of cold fusion is not ""fusion"" as the current establishment defines it.A basic tenant of research is that correlation does not equal causation. The current assumption of Deuterium Deuterium (DD) fusion based on the excellent work of Dr. Michael McKubre showing a near perfect match of excess heat to helium produced is only a correlation. The assumption of DD fusion may be fallacious and leading to a dead end. In many cases the Pons Fleischmann reaction starts with deuterium and ends with helium. This would seem to indicate DD fusion, but this is assuming that correlation equals causation.","Godes, R.",GodesRquantumfus.pdf,Quantum Fusion Hypothesis,ICCF-14 International Conference on Condensed Matter Nuclear Science,"2,008",,2009-10-02,Theory,,,,,,,,,,,
"1,436",T,http://lenr-canr.org/acrobat/GodesRcontrolled.pdf,We have run over 150 experiments using two different cell/calorimeter designs. Excess power has always been seen using Q pulses tuned to the resonance of palladium and nickel hydrides in pressurized vessels. Excess energies of up to 100% have been seen using this excitation method.,"Godes, R.; George, R.; Tanzella, F. L.; McKubre, M. C. H.",GodesRcontrolled.pdf,Controlled Electron Capture and the Path toward Commercialization,J. Condensed Matter Nucl. Sci.,"2,014",13,2012-08-29,"Cold neutrons, Electrolysis, Electron Capture, Excess Heat",,,,,,,,,,,
"1,453",T,http://lenr-canr.org/acrobat/BiberianJPjcondensedzi.pdf#page=213,"We have modeled the behavior of hydrogen atoms in the flow of free electrons in metals by the molecular dynamic method. The trajectories of the particles were calculated by numerically solving a system of differential equations of mechanics. Relativistic equations were used, and the interaction of particles was considered Coulombic without taking into account magnetic effects. About 104 stories were modeled, each of them containing up to 100 collisions of free electrons with a hydrogen atom. The total number of simulated atoms that experienced collisions was ~ 10^6. Dynamic modeling revealed the formation of neutral particles consisting of protons (deuterons) with an electron rotating around them in nonstationary, close to elliptical orbits with an apogee to a distance of less than 10^-11 cm and to a perigee of ~ 10^-12 cm. These particles, which are continuously changing in size and shape, are up to 3 to 4 orders of magnitude smaller than ordinary hydrogen atoms, and 1-2 orders of magnitude larger than neutrons. Such nonstationary hydrogen miniatoms can exist for a short time (on our estimate, up to ~ 10^-12 sec.) in the environment of free electrons of metals, easily move in them and, like neutrons, approach the nuclei of isotopes of hydrogen or other elements at a distance at which nuclear fusion reactions or transmutation of elements are possible due to the tunneling effect. Taking into account the formation of such hydrogen miniatoms the previously calculated rate of low-energy nuclear reactions in metals1^-6 increases more than by 5 ? 6 orders of magnitude, that is, to values corresponding to experimental data. Formation of hydrogen miniatoms in the medium of free electrons is of primary importance in the mechanism of low-energy nuclear reactions.","Goncharov, A. I.; Kirkinskii, V. A.",BiberianJPjcondensedzi.pdf,Formation of Hydrogen Miniatoms in the Medium of Free Electrons?the Key to the Mechanism of Low-energy Nuclear Reactions,J. Condensed Matter Nucl. Sci.,"2,022",36,2022-11-14,"LENR, Molecular dynamics, Hydrogen mini-atoms",213,218,,,,,,,,,
"1,457",T,http://lenr-canr.org/acrobat/GoodsteinDwhateverha.pdf,"The article that follows was written in 1994, and first appeared in The American Scholar (vol. 63 p. 527).? In the three years since then much has happened, but little has changed.? There have been reports of increasingly reliable production of excess heat, and of the detection of 4He residue, and much more.? Nevertheless, the most remarkable fact remains that cold fusion has neither been accepted by mainstream science, nor has it withered away.? The general situation that the article describes still seems to be in place today.","Goodstein, D.",GoodsteinDwhateverha.pdf,Whatever Happened to Cold Fusion?,Accountability Res.,"2,000",8,2002-10-02,history,,,,,,,,,,,
"1,461",T,http://lenr-canr.org/acrobat/BiberianJPjcondensedzh.pdf#page=36,"Multiple implementations of a Lattice Energy Converter (LEC) have demonstrated the ability to self-initiate and self-sustain the production of a voltage and current over extended periods of time. A LEC converts the internal energy within the lattice of some materials, such as palladium, or of gases occluded within the lattice, such as hydrogen or deuterium, into ionizing radiation and electrical energy. Experiments include tests where the current-voltage (I-V) characteristics of the LEC were measured when an external voltage/current was applied, as well as other I-V tests where the spontaneous LEC voltage was measured as a function of temperature and resistance. LEC voltage and current has been shown to increasewith increased temperature. The electrical power produced by a LEC is similar to that produced by a nuclear battery however, a LEC does not require radioactive materials. While the energy levels produced to date are several orders of magnitude below those required formost power sources, the calculated flux of ionizing radiation necessary to produce the experimentally measured voltage and currentwould require the equivalent of several curies of radiation. These results have been independently replicated by two individuals. A video of the Lattice Energy Converter presentation, from the 2021 LENR workshop in honor of Dr. Srinivasan, is available at: https://www.youtube.com/watch?v=J4dzTWY_aWM This paper expands on the YouTube video presentation with additional analysis that supports the observed experimental results.","Gordon, F.; Whitehouse, H. J.",BiberianJPjcondensedzh.pdf,Lattice Energy Converter,J. Condensed Matter Nucl. Sci.,"2,022",35,2022-03-10,"Direct energy conversion, Ionizing radiation electricity generation",36,54,,,,,,,,,
"1,462",T,http://lenr-canr.org/acrobat/BiberianJPjcondensedzi.pdf#page=11,Continuing development of Lattice Energy Converter (LEC) technology has resulted in both experimental and theoretical advancements. Replicated experimental results and analysis for a LEC wherein a codeposited palladium-hydrogen working electrode produced spontaneous and sustained electrical energy attributed to ionizing radiation have been previously reported. Herein is reported the use of a working electrode comprised of codeposited iron-hydrogen from an aqueous solution of FeCl2 which demonstrated similar capabilities to produce spontaneous and sustained electrical energy as well as ionizing radiation. These results also have been replicated. http://ikkem.com/iccf23/PPT/Invited%20Gordon%20ICCF%2023%20LEC%20T5.MP4. This paper updates the presentation at the workshop in honor of Dr. Srinivasan in January 2021 which is available at: https://www.youtube.com/watch?v=J4dzTWY_aWM This paper provides additional analysis that supports the observed experi- mental results from both presentations.,"Gordon, F.; Whitehouse, H. J.",BiberianJPjcondensedzi.pdf,Lattice Energy Converter II: Iron Hydrogen Host Material,J. Condensed Matter Nucl. Sci.,"2,022",36,2022-11-14,"Direct energy conversion, Electricity generation, Ionizing radiation",11,34,,,,,,,,,
"1,464",T,http://lenr-canr.org/acrobat/GoryachevIregistrati.pdf,For the purpose of searching for heavy nuclei generated in the result of low energy nuclear processes we used samples of 28Ni58 which were bombarded with 27 MeV electrons from the Resonance accelerator MI-30. The samples of nickel of 48 mm in diameter and 20 mm thick were irradiated with electrons to the level of absorbed energy of around 2.5 106 J/cm^3 which is approximately 5 times exceeds the minimum specific energy at which as it followed from the authors' theoretical model the process of generating transmuted elements will become quite noticeable.,"Goryachev, I. V.",GoryachevIregistrati.pdf,Registration of synthesis of 45Rh102 in media of excited nuclei of 28Ni58,"The 9th International Conference on Cold Fusion, Condensed Matter Nuclear Science","2,002",1,2004-11-27,"ICCF-9, transmutation, electron bombardment",,,,,,,,,,,
"1,465",T,http://lenr-canr.org/acrobat/GoryachevIabnormalre.pdf,"During a number of years there were carried out experiments to investigate interactions of excited substances with radiation, gravity and other kinds of fields. Converting atoms of the substances into excited state was fulfilled by means of bombarding the samples used with intensive beams of electrons with energy of 27 MeV and the accompanying bremsstrahlung generated by the electrons in the substances and intermediate targets.","Goryachev, I. V.",GoryachevIabnormalre.pdf,Abnormal results of experimenting with excited substances and interpretation of the discovered effects within the frames of the model of collective interactions,"The 9th International Conference on Cold Fusion, Condensed Matter Nuclear Science","2,002",1,2004-11-27,"ICCF-9, theory",,,,,,,,,,,
"1,466",T,http://lenr-canr.org/acrobat/GoryachevIorganizati.pdf,We can not help remembering that in the Soviet Union investigations of a number of abnormal phenomena which later were related to the problem of Cold Nuclear Fusion were carried out long before Fleischmann and Pons announced their experiments at the American University of Utah.At present these kind of research works are widely carried on in Russia despite the absence of any state support and while part of the official scientific community remains skeptical.In total there are more than 30 groups of scientists engaged in research in this field in Russia . . .,"Goryachev, I. V.; Bazhutov, Y.",GoryachevIorganizati.pdf,"Organization, current status and main results of Russian research in cold fusion and transmutation of chemical elements","The 9th International Conference on Cold Fusion, Condensed Matter Nuclear Science","2,002",1,2004-02-17,"ICCF-9, review",,,,,,,,,,,
"1,472",T,http://lenr-canr.org/acrobat/BiberianJPjcondensedza.pdf#page=59,Extended abstract.,"Govorukha, V.; Tashyrev, O.",BiberianJPjcondensedza.pdf,Novel Biotechnologies for Purification of Radioactive Waste Water,J. Condensed Matter Nucl. Sci.,"2,019",28,2019-02-04,"Effective biotechnologies, Extraction of radionuclides, Microbial pellets, Thermodynamic prediction",59,61,,,,,,,,,
"1,477",T,http://lenr-canr.org/acrobat/SIFthescience.pdf#page=36,"A new ten-electrochemical cell experiment has been carried out in order to confinn the previous results and try to understand the key role of some experimental parameters in triggering the cold fusion events. The experiment was designed to detect: a) excess heat; b) loading factor by in situ measurement of the cathode displacement; c) nuclear products: neutrons, tritium in the electrolytic solution and in the recombined heavy water, gamma-ray; d) effect of the palladium electrode preparation. To measure the excess heat, a calibration curve of the input power vs temperature of the LiOD + D2O solution was obtained for cells equal in shape, materials and operating in the same experimental condition in which the experiment was actually performed. The unique difference was on the cathode. The cathode used in the calibration measurements was made of palladium rod gold-plated by electrochemical deposition. Neutron detector is a 3He proportional counter, the same used in the previous experiments, but the data acquisition is now Implemented by a fast pulse-shape storage and off-line discrimination for a very accurate counting. The findings of the experiment, lasted about 50 days, are: i) dependent on the type of the cathode, specific excess power values up to 96 W/cm3 was found; ii) specific excess power showed linear dependence from the current density with a threshold at around 150 mA/cm2; iii) the cathode swelling was dependent from the type of the cathode and in the case of rods it increased with the current density; iv) no evidence of nuclear products statistically significant was detected.","Gozzi, D.; Cignini, P. L.; Tomellini, M.; Frullani, S.; Garibaldi, F.; Ghio, F.; Jodice, M.; Urciuoli, G. M.",SIFthescience.pdf,Multicell Experiments for Searching Time-Related Events in Cold Fusion,"Second Annual Conference on Cold Fusion, ""The Science of Cold Fusion""","1,991",1,2018-11-16,"Pd, D2O neutron tritium gamma emission heat+ Current density ICCF-2 electrolysis",36,63,,,,,,,,,
"1,478",T,http://lenr-canr.org/acrobat/IkegamiHthirdinter.pdf#page=161,"On the line of the previous experiments carried out in a multicell electrochemical system, we will present the results obtained with an improved experimental apparatus recently assembled. In the present experimental configuration, we have a 60 3He tubes neutron counter from Jomar/Canberra (Los Alamos, NM) in which the ten cells system is located. In this way the efficiency of the neutron detection has been increased from 5x 10^-5 to 0.22. The sixty tubes are divided in twelve groups to localize which cell is generating neutrons owing to the counting of the twelve separated scalers. 4He detelmination by mass-spectrometry is another feature recently added to our experiment.Preliminary results confirm what we already obtained and presented at ICCF2 last year. They are essentially the production of excess heat up to 43% without any appreciable neutron and tritium excesses compared to the respective backgrounds. A carefull check of the neutron data, through the analysis and dating of the single pulse shape, is still in progress to identify if intense spikes observed in the R+A count are due to a real in situ nuclear phenomena or background or artifact effects.","Gozzi, D.; Cignini, P. L.; Caputo, R.; Tomellini, M.; Balducci, G.; Gigli, G.; Cisbani, E.; Frullani, S.; Garibaldi, F.; Jodice, M.; Urciuoli, G. M.",IkegamiHthirdinter.pdf,Experiments with Global Detection of Cold Fusion Byproducts,"Third International Conference on Cold Fusion, ""Frontiers of Cold Fusion""","1,992",1,2018-12-04,"Pd, D2O, heat+, neutron, tritium, electrolysis, ICCF-3, negative",161,174,,,,,,,,,
"1,480",T,http://lenr-canr.org/acrobat/EPRIproceeding.pdf#page=59,"We present the results of a new experiment with our multicell set-up implemented with mass spectrometric measurements of 4He and a highly improved neutron detector. The excess heat measured is in linea with the our previous results as well as with other laboratories while no neutrons, and a tritium excess lower than expected from power excess were found. 4He has been measured in the electrolysis gases and a tentative correlation of 4He with excess power is presented and discussed.","Gozzi, D.; Caputo, R.; Cignini, P. L.; Tomellini, M.; Gigli, G.; Balducci, G.; Cisbani, E.; Frullani, S.; Garibaldi, F.; Jodice, M.; Urciuoli, G. M.",EPRIproceeding.pdf,Excess Heat and Nuclear Product Measurements in Cold Fusion Electrochemical Cells,Fourth International Conference on Cold Fusion,"1,993",1,2010-03-03,"Pd, D2O, He, neutron, heat+, tritium, electrolysis, ICCF-4",59,496,,,,,,,,,
"1,484",,http://lenr-canr.org/acrobat/GozziDxrayheatex.pdf,"Abstract The energy balance between heat excess and 4He in the gas phase has been found to be reasonably satisfied even if the low levels of 4He do not give the necessary confidence to state definitely that we are dealing with the fusion of deuterons to give 4He. In the melted cathode, the data of which are reported, no 4He was found at the achieved sensitivity. X-ray film, positioned at 50 mm from the cell, roughly gave the image of the cathode through spots. Extended considerations have been made to explain this evidence on the basis of the bundle nature of the cathode. From these considerations, the energy of the radiation and the total energy associated to it have been estimated as 89 keV and 12 kJ, respectively. This value is :0.5% of the energy measured by calorimetry in the same interval of time. The highest values of energy and excess power are 8.3 MJ and 10 W, respectively.","Gozzi, D.; Cellucci, F.; Cignini, P. L.; Gigli, G.; Tomellini, M.; Cisbani, E.; Frullani, S.; Urciuoli, G. M.",GozziDxrayheatex.pdf,"X-ray, heat excess and 4He in the D/Pd system",J. Electroanal. Chem.,"1,998",452,2002-11-07,"electrolysis, Pd, D2O, x-ray, heat+, He",,,,,,,,,,,
